Date,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTIM.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2012-01-01,136.139404296875,567.6434936523438,268.8687744140625,199.91188049316406,1146.95703125,68.17292785644531,43.616878509521484,24.35333251953125,307.9995422363281,191.7591094970703,325.3733215332031,117.89190673828125,343.9522399902344,308.1264343261719,141.36599731445312,371.24969482421875,80.35144805908203,222.0749969482422,,1237.179443359375,132.14707946777344,305.7613220214844,139.38116455078125,93.53459167480469,269.6533508300781,247.93055725097656,58.75316619873047,246.95919799804688,,475.50274658203125,298.49505615234375,1061.498291015625,84.6915283203125,360.53118896484375,97.81512451171875,35.47539138793945,176.64247131347656,,174.42750549316406,250.44586181640625,443.1503601074219,90.50186157226562,230.76498413085938,13.934281349182129,124.59458923339844,187.85963439941406,1154.7791748046875,91.5063247680664,71.57083129882812
2012-02-01,138.37350463867188,548.25390625,284.5998229980469,219.00955200195312,1290.42529296875,71.79205322265625,62.32300567626953,28.18840217590332,294.9451599121094,220.0230255126953,294.4385070800781,120.52208709716797,318.7273864746094,299.5468444824219,146.93099975585938,393.859130859375,89.46266174316406,233.35694885253906,,1292.71142578125,134.22030639648438,306.7699279785156,140.02232360839844,95.2314682006836,288.4524230957031,260.3406066894531,67.91683197021484,271.4395446777344,,474.5052185058594,314.4653015136719,1122.4134521484375,90.89645385742188,375.6128234863281,106.43341064453125,38.50836181640625,177.43154907226562,,190.16036987304688,251.31341552734375,479.5160827636719,105.4525146484375,256.5160217285156,14.606578826904297,114.75318145751953,211.36520385742188,1336.9676513671875,96.62100982666016,74.76117706298828
2012-03-01,120.80097961425781,604.2001342773438,291.013427734375,213.1426544189453,1202.468017578125,73.95807647705078,59.37605667114258,29.805850982666016,284.58587646484375,250.71800231933594,283.43011474609375,123.908935546875,335.4782409667969,321.8027648925781,168.5862579345703,373.324462890625,89.14904022216797,234.59799194335938,,1365.2149658203125,116.64276885986328,330.8547058105469,137.53488159179688,104.05982971191406,297.135986328125,258.79217529296875,60.59682083129883,270.250244140625,,474.849853515625,310.1903991699219,1208.016845703125,81.70892333984375,394.1160583496094,97.41273498535156,37.13227462768555,162.26634216308594,,177.36766052246094,260.2398986816406,458.65887451171875,94.3655014038086,260.5869445800781,14.5818510055542,137.7324676513672,211.5040283203125,1439.7786865234375,80.65699768066406,76.1012954711914
2012-04-01,119.21517944335938,596.2078247070312,316.57806396484375,205.84388732910156,1163.53857421875,79.35725402832031,71.04734802246094,28.545934677124023,261.5090637207031,237.52676391601562,289.8399963378906,130.51596069335938,374.9578857421875,321.4744873046875,194.9781951904297,364.42852783203125,94.46205139160156,244.81951904296875,,1488.6341552734375,108.84556579589844,336.9466552734375,136.32203674316406,112.59005737304688,306.42010498046875,222.29782104492188,58.232421875,288.8086853027344,,445.04937744140625,314.553955078125,1227.1141357421875,81.58341217041016,398.94830322265625,98.57132720947266,38.196624755859375,161.0773468017578,,180.9000244140625,275.3762512207031,489.18902587890625,98.18718719482422,299.6868591308594,14.331478118896484,134.1016387939453,215.6221466064453,1354.55419921875,72.1015396118164,70.0405044555664
2012-05-01,115.15738677978516,633.5209350585938,360.9885559082031,180.55386352539062,1082.565185546875,77.14127349853516,63.66783142089844,29.695186614990234,254.81344604492188,226.0478973388672,287.88916015625,119.1257095336914,408.8101501464844,307.3697204589844,195.86602783203125,327.7006530761719,93.35568237304688,228.4380645751953,,1215.6573486328125,105.14977264404297,345.3380126953125,121.01124572753906,105.18343353271484,275.657958984375,219.34092712402344,52.806461334228516,279.2445068359375,,425.3697509765625,289.10345458984375,984.1690673828125,73.70118713378906,384.528076171875,92.42090606689453,36.44560241699219,152.53814697265625,,173.95794677734375,258.8701171875,488.6983337402344,90.3758773803711,220.587646484375,12.476869583129883,128.71273803710938,206.0903778076172,1353.5562744140625,69.67182159423828,70.89644622802734
2012-06-01,113.01187896728516,583.8646240234375,349.0500793457031,188.88473510742188,1126.5794677734375,82.86737060546875,66.44972229003906,31.665929794311523,256.9189453125,222.11585998535156,294.0669250488281,128.4601593017578,448.9466247558594,300.5406799316406,170.72914123535156,375.29266357421875,88.24388122558594,254.31893920898438,,1427.7545166015625,108.07933044433594,366.7200012207031,141.8353271484375,118.73552703857422,314.3184509277344,227.5192108154297,57.09010696411133,293.5164794921875,,507.062744140625,313.3135070800781,1046.3365478515625,80.05213928222656,387.4173278808594,103.9734878540039,38.9863166809082,159.51002502441406,,185.99826049804688,290.30712890625,501.2950744628906,97.38923645019531,229.5342254638672,13.64527416229248,135.35330200195312,206.73814392089844,1441.6322021484375,79.20255279541016,69.14997863769531
2012-07-01,112.35888671875,596.0185546875,329.5743713378906,197.18597412109375,1149.106201171875,94.24238586425781,72.29993438720703,30.927440643310547,252.70785522460938,196.45216369628906,314.5507507324219,133.10887145996094,480.2806396484375,297.02423095703125,167.00283813476562,407.8851013183594,96.0412368774414,267.33380126953125,,1331.8359375,108.2596435546875,377.088134765625,151.5958709716797,120.66154479980469,308.6833801269531,201.9265594482422,56.11579132080078,265.4928894042969,,496.760498046875,310.47833251953125,1015.118896484375,78.8221206665039,382.261962890625,104.4114990234375,40.84036636352539,160.75311279296875,,172.73971557617188,298.4346618652344,491.1720886230469,106.6703872680664,214.197265625,12.810700416564941,136.2705535888672,205.39630126953125,1558.655029296875,75.42800903320312,58.80082321166992
2012-08-01,106.76395416259766,598.3250122070312,329.4295959472656,187.29977416992188,1192.2332763671875,96.53431701660156,77.47725677490234,28.910388946533203,208.701904296875,215.37588500976562,349.7124328613281,130.18258666992188,505.18682861328125,308.5469055175781,183.09913635253906,424.8740539550781,100.82894897460938,270.7905578613281,,1171.085693359375,93.61168670654297,419.4171142578125,142.25320434570312,125.10189819335938,294.29681396484375,214.14031982421875,58.8840217590332,284.7818908691406,,487.1473388671875,343.9627685546875,1022.6773681640625,84.36978912353516,395.6324462890625,100.70663452148438,41.01203536987305,165.68203735351562,,158.28802490234375,305.1922607421875,532.0108032226562,109.02220153808594,225.8169403076172,11.495497703552246,152.60928344726562,205.52162170410156,1610.274169921875,75.5364761352539,62.70012283325195
2012-09-01,119.66950225830078,696.1417846679688,356.0413513183594,214.53167724609375,1349.187744140625,108.56144714355469,86.52635955810547,30.106172561645508,224.4276580810547,204.52110290527344,355.2012939453125,132.960693359375,479.7712097167969,302.6706237792969,197.30447387695312,475.5378723144531,106.95020294189453,286.164306640625,,1278.068603515625,110.41349792480469,444.45526123046875,166.95413208007812,127.32205963134766,330.3227233886719,229.85415649414062,64.25292205810547,321.81201171875,,585.964599609375,389.7327880859375,1215.8013916015625,84.39490509033203,377.23162841796875,102.5134506225586,41.372535705566406,180.98773193359375,,193.028076171875,319.58056640625,513.0662231445312,121.97415924072266,257.86309814453125,12.751920700073242,186.78121948242188,243.5759735107422,1879.435546875,83.14697265625,65.89046478271484
2012-10-01,119.4348373413086,742.503662109375,350.28643798828125,223.33203125,1339.1243896484375,118.22359466552734,84.34239959716797,29.143503189086914,227.97857666015625,207.917236328125,339.5017395019531,128.45375061035156,531.422119140625,323.058349609375,198.05575561523438,475.3584899902344,112.60842895507812,288.46124267578125,,1277.864501953125,106.61717987060547,445.06585693359375,165.5980682373047,132.0662841796875,338.5040588378906,214.2627410888672,62.68682098388672,299.4897766113281,,596.9917602539062,398.6344299316406,1294.3885498046875,83.26123046875,402.78204345703125,98.70333099365234,39.55891799926758,174.134765625,,181.79840087890625,318.9373474121094,520.8262939453125,128.20736694335938,245.5265350341797,12.475190162658691,182.24647521972656,241.85047912597656,1906.5118408203125,72.06281280517578,60.633750915527344
