Key,Signal,Long Only,Weighting,Holding,Top N,Bottom N,TCost,Ann_Return,Ann_Vol,Sharpe,MaxDD
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_5_botn_5_tc_0.001,risk_adj,False,equal,1,5,5,0.001,-0.03429097047538889,0.12359642185216697,-0.2774430680234751,0.6725833084420254
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_5_botn_10_tc_0.0,risk_adj,False,equal,1,5,10,0.0,-0.01300223701796227,0.11062605015766858,-0.11753323018792566,0.5087231310419015
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_5_botn_10_tc_0.001,risk_adj,False,equal,1,5,10,0.001,-0.037002237017962285,0.11062605015766858,-0.33448032326224475,0.6362153838237365
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_10_botn_5_tc_0.0,risk_adj,False,equal,1,10,5,0.0,-0.013044129690007553,0.11478250011222965,-0.11364214647052934,0.5107294568580054
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_10_botn_5_tc_0.001,risk_adj,False,equal,1,10,5,0.001,-0.03704412969000755,0.11478250011222965,-0.32273325335994,0.6107336044441535
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_10_botn_10_tc_0.0,risk_adj,False,equal,1,10,10,0.0,-0.015755396232580945,0.09993851888810483,-0.1576508878445689,0.4780504717773969
signal_risk_adj_longonly_False_weight_equal_hold_1_topn_10_botn_10_tc_0.001,risk_adj,False,equal,1,10,10,0.001,-0.03975539623258095,0.09993851888810483,-0.3977985332871772,0.582239412360228
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_5_botn_5_tc_0.0,risk_adj,False,vol,1,5,5,0.0,-0.013878830193167362,0.11887442755590455,-0.1167520254651943,0.5454816940914409
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_5_botn_5_tc_0.001,risk_adj,False,vol,1,5,5,0.001,-0.037878830193167366,0.11887442755590452,-0.31864574216648595,0.6389326460278307
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_5_botn_10_tc_0.0,risk_adj,False,vol,1,5,10,0.0,-0.01713044236302484,0.1078809088116021,-0.15879030452867798,0.5083373106340782
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_5_botn_10_tc_0.001,risk_adj,False,vol,1,5,10,0.001,-0.04113044236302485,0.1078809088116021,-0.3812578408553549,0.6305432165336893
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_10_botn_5_tc_0.0,risk_adj,False,vol,1,10,5,0.0,-0.018092397831759262,0.10896038125188563,-0.16604565461215437,0.4576559620476044
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_10_botn_5_tc_0.001,risk_adj,False,vol,1,10,5,0.001,-0.04209239783175927,0.10896038125188563,-0.3863092010889126,0.58451601962732
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_10_botn_10_tc_0.0,risk_adj,False,vol,1,10,10,0.0,-0.02134401000161675,0.09647216302317886,-0.22124527255067905,0.4584153824922821
signal_risk_adj_longonly_False_weight_vol_hold_1_topn_10_botn_10_tc_0.001,risk_adj,False,vol,1,10,10,0.001,-0.04534401000161675,0.09647216302317886,-0.4700216993240028,0.580761021907012
signal_risk_adj_longonly_True_weight_equal_hold_1_topn_5_botn_0_tc_0.0,risk_adj,True,equal,1,5,0,0.0,0.19280486381413792,0.22820602768628165,0.8448719158250707,1.1139111663667753
