Date,Return
2013-05-01,0.09562334485920894
2013-06-01,0.07391441065410272
2013-07-01,0.10040309033559335
2013-08-01,-0.034028680316606386
2013-09-01,0.0911545588508311
2013-10-01,0.17027332907199547
2013-11-01,0.05926526240164492
2013-12-01,0.10223779252283925
2014-01-01,0.09882831252269801
2014-02-01,0.15116596137779972
2014-03-01,0.11004852001113005
2014-04-01,0.07293910236885749
2014-05-01,0.09651736580744745
2014-06-01,0.19729568978912723
2014-07-01,0.271674369319463
2014-08-01,0.17080885454265432
2014-09-01,0.3232821863443017
2014-10-01,0.41035589300400716
2014-11-01,0.39784074360644656
2014-12-01,0.2348503305725162
2015-01-01,0.32551248676176137
2015-02-01,0.20790970800103323
2015-03-01,0.2034018965279166
2015-04-01,0.12444052663835227
2015-05-01,0.1710113353141933
2015-06-01,0.16100557519092218
2015-07-01,0.11379754327431425
2015-08-01,0.04635130254159191
2015-09-01,0.09335418844382747
2015-10-01,0.1558751380466306
2015-11-01,0.037210288825697366
2015-12-01,0.031581052656166786
2016-01-01,-0.11109548387836822
2016-02-01,-0.10763465937821319
2016-03-01,-0.04063910932931504
2016-04-01,0.00079728776141102
2016-05-01,0.06378676710547232
2016-06-01,0.08829000485959378
2016-07-01,0.23505295561685877
2016-08-01,0.2994534607650182
2016-09-01,0.14763637078579825
2016-10-01,0.1348826307937053
2016-11-01,0.09211794816238851
2016-12-01,0.009878030499393044
2017-01-01,0.03741807050197907
2017-02-01,0.005176339756043501
2017-03-01,0.06554195577916763
2017-04-01,0.13521800427789019
2017-05-01,0.20751432608912812
2017-06-01,0.17563664904688972
2017-07-01,0.15245174101270545
2017-08-01,0.13652795534538115
2017-09-01,0.12248911398232201
2017-10-01,0.1591107219289104
2017-11-01,0.13802675927244326
2017-12-01,0.18709391251389848
2018-01-01,0.15571967035877246
2018-02-01,0.037764725588292386
2018-03-01,0.06152377935049615
2018-04-01,0.09905065153350684
2018-05-01,0.110342083085618
2018-06-01,0.11589798670920404
2018-07-01,0.10426666084310182
2018-08-01,0.16758820479036074
2018-09-01,0.17787387449389092
2018-10-01,0.020582112117229642
2018-11-01,0.04054213571373106
2018-12-01,0.028198177120680196
2019-01-01,-0.03290949039280469
2019-02-01,-0.0781073118414656
2019-03-01,0.05790548120043129
2019-04-01,0.11276499134031523
2019-05-01,0.07522784921314661
2019-06-01,0.11522128726765984
2019-07-01,0.028321547920668967
2019-08-01,0.044817460227786945
2019-09-01,0.041224936206216665
2019-10-01,0.0244501913708763
2019-11-01,0.014313635157046183
2019-12-01,0.041239657108259296
2020-01-01,0.16731786493088038
2020-02-01,0.14460786692113273
2020-03-01,-0.07984957584851965
2020-04-01,-0.014571888814280941
2020-05-01,-0.024359901929522993
2020-06-01,-0.048537115696536286
2020-07-01,0.008997403934320011
2020-08-01,0.09070806256592567
2020-09-01,0.3307088863397832
2020-10-01,0.2154703304456932
2020-11-01,0.22771916572428008
2020-12-01,0.3314510729601755
2021-01-01,0.18863633298737695
2021-02-01,0.1335173015841615
2021-03-01,0.17394021326331327
2021-04-01,0.14188973183036777
2021-05-01,0.18574311883838907
2021-06-01,0.20910238790160307
2021-07-01,0.3860608697566534
2021-08-01,0.35912883344863217
2021-09-01,0.2942864616676038
2021-10-01,0.2871722190243694
2021-11-01,0.18716883223218006
2021-12-01,0.20513102567264224
2022-01-01,0.10394461364927199
2022-02-01,-6.158235088101101e-05
2022-03-01,0.03786341015631788
2022-04-01,0.03162946476495396
2022-05-01,-0.0841745689516208
2022-06-01,-0.15360269730998574
2022-07-01,-0.04325245309657231
2022-08-01,0.07880058240757545
2022-09-01,-0.01268378878367257
2022-10-01,0.08731231214892542
2022-11-01,0.14920851947697483
2022-12-01,0.13310521135033535
2023-01-01,0.061432952543702964
2023-02-01,-0.022305455819492923
2023-03-01,0.01833564774242075
2023-04-01,0.0012018089238198843
2023-05-01,0.05088113954935847
2023-06-01,0.09387447464218963
2023-07-01,0.16300462427050136
2023-08-01,0.15031913612615336
2023-09-01,0.18949758710462394
2023-10-01,0.10763200064685016
2023-11-01,0.1987017562024037
2023-12-01,0.25954100646995437
2024-01-01,0.25898547983439685
2024-02-01,0.33696599642896496
2024-03-01,0.259152704489987
2024-04-01,0.2670828678002218
2024-05-01,0.17379111457938726
2024-06-01,0.1671131448623845
2024-07-01,0.1809702051959691
2024-08-01,0.16314669387741196
2024-09-01,0.18205682343647708
2024-10-01,0.07281722192472494
2024-11-01,0.005070378228036078
2024-12-01,-0.06885854985998965
2025-01-01,-0.11717485701526632
2025-02-01,-0.17271486154072516
2025-03-01,-0.13826465536770804
2025-04-01,-0.0026258449811448134
2025-05-01,0.03904690619923501
2025-06-01,0.06675903706061216
