Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-02-01,2013-03-01,BAJAJFINSV.NS,Long,0.06098524937166657,80.24685668945312,76.41873931884766,-0.002909256537908316
2013-02-01,2013-03-01,BAJFINANCE.NS,Long,0.13689566487704993,121.359619140625,108.73920440673828,-0.014236037310051191
2013-02-01,2013-03-01,EICHERMOT.NS,Long,0.07968216000753953,236.5272216796875,218.73207092285156,-0.005994895809010643
2013-02-01,2013-03-01,HCLTECH.NS,Long,0.11894164509081397,135.26283264160156,148.65077209472656,0.011772513644972607
2013-02-01,2013-03-01,ULTRACEMCO.NS,Long,0.10349528065293001,1784.1197509765625,1784.979248046875,4.985869948676596e-05
2013-02-01,2013-03-01,NTPC.NS,Short,-0.13869430936472096,75.6910629272461,71.2017593383789,0.008226081609991094
2013-02-01,2013-03-01,BHARTIARTL.NS,Short,-0.08511697792459,272.99932861328125,246.6632537841797,0.008211181731602008
2013-02-01,2013-03-01,TATASTEEL.NS,Short,-0.10480591105980298,10.86251449584961,9.95120620727539,0.008792669089358992
2013-02-01,2013-03-01,UPL.NS,Short,-0.08238670297096698,71.26300811767578,72.24763488769531,-0.0011383206432278208
2013-02-01,2013-03-01,HINDALCO.NS,Short,-0.08899609867991906,90.47137451171875,83.79351043701172,0.0065689711621075625
2013-03-01,2013-04-01,TECHM.NS,Long,0.07471857414734068,203.5849151611328,183.16876220703125,-0.007493019986756456
2013-03-01,2013-04-01,BAJFINANCE.NS,Long,0.11670175601868865,108.73920440673828,116.14097595214844,0.007943774664448441
2013-03-01,2013-04-01,EICHERMOT.NS,Long,0.06986034031571647,218.73207092285156,254.3952178955078,0.011390371671275991
2013-03-01,2013-04-01,HCLTECH.NS,Long,0.11318151143139281,148.65077209472656,134.88885498046875,-0.010478213851406615
2013-03-01,2013-04-01,SUNPHARMA.NS,Long,0.12553781808686135,376.2784423828125,436.9737854003906,0.02024979396164422
2013-03-01,2013-04-01,HEROMOTOCO.NS,Short,-0.08323133689117972,1060.6910400390625,1131.1632080078125,-0.005529878666122056
2013-03-01,2013-04-01,NTPC.NS,Short,-0.15524570543313004,71.2017593383789,80.9377212524414,-0.021227934386222613
2013-03-01,2013-04-01,TATASTEEL.NS,Short,-0.09463124173522282,9.95120620727539,9.62994384765625,0.0030550523605188955
2013-03-01,2013-04-01,UPL.NS,Short,-0.08199570704751719,72.24763488769531,86.86333465576172,-0.01658773520184734
2013-03-01,2013-04-01,HINDALCO.NS,Short,-0.0848960088929503,83.79351043701172,88.96199035644531,-0.0052364832898737015
2013-04-01,2013-05-01,HCLTECH.NS,Long,0.11159121307669122,134.88885498046875,139.65289306640625,0.003941206182158638
2013-04-01,2013-05-01,ASIANPAINT.NS,Long,0.08878330130584733,425.9742126464844,442.5217590332031,0.0034489078284740578
2013-04-01,2013-05-01,TECHM.NS,Long,0.0853488696062746,183.16876220703125,185.9069366455078,0.0012758730817027848
2013-04-01,2013-05-01,BAJFINANCE.NS,Long,0.08817520541726331,116.14097595214844,139.44969177246094,0.01769617302265015
2013-04-01,2013-05-01,SUNPHARMA.NS,Long,0.12610141059392357,436.9737854003906,479.7268371582031,0.01233762828338846
2013-04-01,2013-05-01,NTPC.NS,Short,-0.16552197856882078,80.9377212524414,79.31745147705078,0.0033135385440546394
2013-04-01,2013-05-01,BHARTIARTL.NS,Short,-0.08101110268526852,269.49072265625,255.28697204589844,0.004269762936065396
2013-04-01,2013-05-01,HEROMOTOCO.NS,Short,-0.07978361916416475,1131.1632080078125,1194.3779296875,-0.004458683985084169
