Date,Return
2013-03-01,-0.03456172991527045
2013-04-01,0.02777872481671879
2013-05-01,-0.000555925296454511
2013-06-01,-0.0038481940442105685
2013-07-01,0.04731668861469988
2013-08-01,0.07604028126962413
2013-09-01,-0.013080280416442852
2013-10-01,-0.016960786673419243
2013-11-01,0.04193952642923438
2013-12-01,-0.006560807463113797
2014-01-01,-0.04013795670321063
2014-02-01,-0.01138723618041598
2014-03-01,0.08759028719830697
2014-04-01,-0.03466977970815903
2014-05-01,0.085248200682065
2014-06-01,-0.033442309830549063
2014-07-01,-0.008545881070530309
2014-08-01,-0.01004192666340902
2014-09-01,9.123793710719662e-05
2014-10-01,-0.004442433380208055
2014-11-01,-0.024860304043910108
2014-12-01,-0.03910093617284524
2015-01-01,-0.03486704658467873
2015-02-01,-0.009524211544893059
2015-03-01,-0.02995697701527002
2015-04-01,0.013283082539156959
2015-05-01,-0.047634960507068544
2015-06-01,-0.034906822580634336
2015-07-01,-0.06732119178643985
2015-08-01,-0.013774753170103264
2015-09-01,-0.04305921123490801
2015-10-01,0.06324831724923213
2015-11-01,0.006530193088203799
2015-12-01,0.022060006280053335
2016-01-01,-0.037930079469583426
2016-02-01,-0.0006423706508264307
2016-03-01,0.03418480561642938
2016-04-01,-0.01181372344112082
2016-05-01,0.01777938934308401
2016-06-01,-0.009168683970462188
2016-07-01,-0.014854091447375825
2016-08-01,0.0058257346780441095
2016-09-01,0.0056409095433417175
2016-10-01,0.018698896311698965
2016-11-01,0.02613328447751393
2016-12-01,0.044092633144421724
2017-01-01,-0.06318340901131012
2017-02-01,0.0231134812275474
2017-03-01,-0.03794166851522406
2017-04-01,-0.029169965697714136
2017-05-01,-0.038111424235256576
2017-06-01,0.03386393667540539
2017-07-01,-0.04646924033926804
2017-08-01,-0.01537640254315081
2017-09-01,0.07479423360553285
2017-10-01,0.003176517582778626
2017-11-01,-0.013742707199758597
2017-12-01,0.006097912495089769
2018-01-01,-0.03342560690982419
2018-02-01,0.004704029249913928
2018-03-01,-0.03560864985486146
2018-04-01,-0.038738161243648185
2018-05-01,-0.04396713846426955
2018-06-01,0.014271513992295393
2018-07-01,-0.035516141076438655
2018-08-01,0.035804470271645135
2018-09-01,0.00014034574279886153
2018-10-01,-0.06369560748443648
2018-11-01,0.029335040510058356
2018-12-01,0.005553831537907693
2019-01-01,-0.031673796275657376
2019-02-01,0.007541503136650501
2019-03-01,0.016882875798639844
2019-04-01,0.020807424926496922
2019-05-01,0.008557286800353807
2019-06-01,0.0037064138277932658
2019-07-01,-0.03937127641805269
2019-08-01,0.022742398894700463
2019-09-01,0.021623004280085685
2019-10-01,0.0419199836373641
2019-11-01,0.004031793926989493
2019-12-01,0.008503062616919629
2020-01-01,-0.030438395033425214
2020-02-01,-0.06475602646231725
2020-03-01,0.013362881656518805
2020-04-01,0.02688553555717278
2020-05-01,0.02697925357457749
2020-06-01,0.005576456241543416
2020-07-01,-0.007942695495760214
2020-08-01,0.021410902436679903
2020-09-01,-0.06715046990495546
2020-10-01,-0.004247112763059758
2020-11-01,0.05967542198112781
2020-12-01,0.014556780278343385
2021-01-01,-0.0020937146345543214
2021-02-01,0.10545640513412745
2021-03-01,-0.06206190754802605
2021-04-01,0.004477855195721445
2021-05-01,0.002577772038661719
2021-06-01,-0.0032430746423628295
2021-07-01,-0.022154644679939033
2021-08-01,0.0055745038021544
2021-09-01,0.030177066273997504
2021-10-01,-0.033022151340969426
2021-11-01,-0.010220433838872849
2021-12-01,-0.01283846032369879
2022-01-01,0.023644922672692185
2022-02-01,-0.02044887822360446
2022-03-01,-0.024296800940736968
2022-04-01,0.04949909780440368
2022-05-01,0.05344380879294667
2022-06-01,0.0014454914542437296
2022-07-01,-0.015031050757152475
2022-08-01,-0.022221606745541314
2022-09-01,-0.0007543895342413062
2022-10-01,-0.0327690057054107
2022-11-01,0.05268313335043836
2022-12-01,-0.00238100477392246
2023-01-01,-0.009666671748327211
2023-02-01,0.003280402215799811
2023-03-01,-0.01399088962130933
2023-04-01,-0.01815417631014283
2023-05-01,-0.0011968911495175013
2023-06-01,-0.019168124531911426
2023-07-01,0.014847618486384828
2023-08-01,0.010715766048562742
2023-09-01,-0.02340228419439884
2023-10-01,-0.002978295882876323
2023-11-01,5.096312423825576e-05
2023-12-01,-0.03631903953770888
2024-01-01,-0.03170511640538017
2024-02-01,-0.01654131848129792
2024-03-01,-0.004897293294636939
2024-04-01,0.0021907596486907387
2024-05-01,0.006055150600402152
2024-06-01,0.016135522641236723
2024-07-01,0.005082032351108651
2024-08-01,0.011284703639032922
2024-09-01,0.014413796701880846
2024-10-01,0.014762666970827058
2024-11-01,-0.012728910492735328
2024-12-01,-0.002283489340407895
2025-01-01,0.0455099484972465
2025-02-01,0.03039883058343715
2025-03-01,-0.03721337305109513
2025-04-01,0.027067779837581477
2025-05-01,0.009340683375489907
2025-06-01,-0.007618592520027927
